1.57132087e-03,1.95233051e-03,2.04977256e-03,2.35568458e-03,2.22940949e-03
9.60839600e-04,1.32696977e-03,1.49087314e-03,1.04683243e-03,8.13720073e-04
6.86739839e-04,7.04256936e-04,5.49612908e-04,6.11169173e-04,5.44775528e-04
4.57539356e-04,4.62466529e-04,4.54475644e-04,4.87841561e-04,6.23935130e-04
4.48952804e-04,4.62029040e-04,3.44074963e-04,4.64752744e-04,4.57097586e-04
3.28340855e-04,2.93526987e-04,3.58781872e-04,4.26968184e-04,3.50631340e-04
2.56755118e-04,2.95620324e-04,3.50681576e-04,2.50085981e-04,3.12066391e-04
2.25872655e-04,2.48496127e-04,2.70569472e-04,2.06337113e-04,2.61060660e-04
2.56036259e-04,2.36387180e-04,2.03712423e-04,2.04944679e-04,2.21277776e-04
2.15603647e-04,1.94320139e-04,2.43686878e-04,1.90361553e-04,1.44835567e-04
1.72209274e-04,1.26673974e-04,1.88815149e-04,1.95190999e-04,1.85400379e-04
1.74125509e-04,1.69518528e-04,1.81667158e-04,1.61604739e-04,2.20334259e-04
1.48077866e-04,1.84367021e-04,1.81508867e-04,1.62259822e-04,1.90975060e-04
1.63603305e-04,1.63829966e-04,1.81201044e-04,1.36628086e-04,1.85099227e-04
1.26806855e-04,1.46370884e-04,1.58770756e-04,1.67778886e-04,1.33274363e-04
1.26394926e-04,1.01497594e-04,1.28107661e-04,1.31396722e-04,1.23989422e-04
9.65458369e-05,1.21622665e-04,8.98212242e-05,1.66719400e-04,1.30746334e-04
1.28312441e-04,1.25123245e-04,9.52437375e-05,1.02680700e-04,9.62079887e-05
1.22533083e-04,1.07602782e-04,1.02926993e-04,1.11165695e-04,1.27204064e-04
8.73729260e-05,7.92320645e-05,1.09912212e-04,9.19595425e-05,1.16343123e-04